Name,NORAD ID,Int'l Code,Launch date,"Period
[minutes]",Longitude,Action,Longitude,sat_name,sat_operator,long_string,x_coord,y_coord,include
SYNCOM 1,553,1963-004A,"February 14, 1963",1426.5,N/A,TRACK IT,,SYNCOM 1,United States,,,,FALSE
ERS 21 (OV5-4),3430,1968-081C,"September 26, 1968",1435.7,N/A,TRACK IT,,ERS 21 (OV5-4),United States,,,,FALSE
SKYNET 1B,4493,1970-062A,"August 19, 1970",-,N/A,Unable to track,,SKYNET 1B,United Kingdom,,,,FALSE
OPS 6394 (FLTSATCOM 4),12046,1980-087A,"October 31, 1980",1455.2,179.1° W,TRACK IT,-179.1,OPS 6394 (FLTSATCOM 4),United States,179.1° W,0.858065,0.158693,TRUE
TELECOM 1B,15678,1985-035B,"May 8, 1985",1436.4,177.3° W,TRACK IT,-177.3,TELECOM 1B,France,177.3° W,0.841511,0.166943,TRUE
MUOS,38093,2012-009A,"February 24, 2012",1436.1,177.2° W,TRACK IT,-177.2,MUOS,United States,177.2° W,0.840567,0.167397,TRUE
YAMAL 300K,38978,2012-061B,"November 2, 2012",1436.1,177.1° W,TRACK IT,-177.1,YAMAL 300K,Russia,177.1° W,0.839620,0.167850,TRUE
NSS 9,33749,2009-008A,"February 12, 2009",1436.1,176.9° W,TRACK IT,-176.9,NSS 9,SES,176.9° W,0.837719,0.168755,TRUE
INSAT 2A,22027,1992-041A,"July 9, 1992",1436.9,176.6° W,TRACK IT,-176.6,INSAT 2A,India,176.6° W,0.834848,0.170108,TRUE
TDRS 11,39070,2013-004A,"January 31, 2013",1436.1,174.5° W,TRACK IT,-174.5,TDRS 11,United States,174.5° W,0.814116,0.179447,TRUE
METEOSAT 2,12544,1981-057A,"June 19, 1981",1458.6,174.4° W,TRACK IT,-174.4,METEOSAT 2,Europe,174.4° W,0.813101,0.179886,TRUE
ECHOSTAR 8,27501,2002-039A,"August 22, 2002",1461.8,174.1° W,TRACK IT,-174.1,ECHOSTAR 8,United States,174.1° W,0.810042,0.181199,TRUE
