Name,NORAD ID,Int'l Code,Launch date,"Period
[minutes]",Longitude,Action,longitude,sat_name,sat_operator,long_string,x_coord,y_coord,include
SYNCOM 1,553,1963-004A,"February 14, 1963",1426.5,N/A,TRACK IT,,SYNCOM 1,United States,,,,FALSE
ERS 21 (OV5-4),3430,1968-081C,"September 26, 1968",1435.7,N/A,TRACK IT,,ERS 21 (OV5-4),United States,,,,FALSE
SKYNET 1B,4493,1970-062A,"August 19, 1970",-,N/A,Unable to track,,SKYNET 1B,United Kingdom,,,,FALSE
INTELSAT 18,37834,2011-056A,"October 5, 2011",1436,180° W,TRACK IT,-180,INTELSAT 18,Intelsat,180° W,0.258819,0.298487,TRUE
BEIDOU 1,26599,2000-069A,"October 30, 2000",1455.9,179.9° W,TRACK IT,-179.9,BEIDOU 1,China,179.9° W,0.257133,0.298627,TRUE
OPS 2222,3334,1968-063A,"August 6, 1968",1450.8,179.7° W,TRACK IT,-179.7,OPS 2222,United States,179.7° W,0.253758,0.298902,TRUE
ABS-1A (KOREASAT 2),23768,1996-003A,"January 14, 1996",1442.9,179.7° W,TRACK IT,-179.7,ABS-1A (KOREASAT 2),South Korea,179.7° W,0.253758,0.298902,TRUE
GOES 12,26871,2001-031A,"July 23, 2001",1452.5,179.7° W,TRACK IT,-179.7,GOES 12,United States,179.7° W,0.253758,0.298902,TRUE
INSAT 2A,22027,1992-041A,"July 9, 1992",1436.9,178.2° W,TRACK IT,-178.2,INSAT 2A,India,178.2° W,0.228351,0.300852,TRUE
TELECOM 1B,15678,1985-035B,"May 8, 1985",1436.4,177.9° W,TRACK IT,-177.9,TELECOM 1B,France,177.9° W,0.223250,0.301218,TRUE
ANIK A2 (TELESAT 2),6437,1973-023A,"April 20, 1973",1442.8,177.7° W,TRACK IT,-177.7,ANIK A2 (TELESAT 2),Canada,177.7° W,0.219846,0.301457,TRUE
MUOS,38093,2012-009A,"February 24, 2012",1436.1,177.3° W,TRACK IT,-177.3,MUOS,United States,177.3° W,0.213030,0.301924,TRUE
