Name,NORAD ID,Int'l Code,Launch date,"Period
[minutes]",Longitude,Action,Longitude,sat_name,sat_operator,long_string,x_coord,y_coord,include
SYNCOM 1,553,1963-004A,"February 14, 1963",1426.5,N/A,TRACK IT,,SYNCOM 1,United States,,,,FALSE
ERS 21 (OV5-4),3430,1968-081C,"September 26, 1968",1435.7,N/A,TRACK IT,,ERS 21 (OV5-4),United States,,,,FALSE
SKYNET 1B,4493,1970-062A,"August 19, 1970",-,N/A,Unable to track,,SKYNET 1B,United Kingdom,,,,FALSE
MUOS,38093,2012-009A,"February 24, 2012",1436.1,177.2° W,TRACK IT,-177.2,MUOS,United States,177.2° W,0.841,0.220,TRUE
YAMAL 300K,38978,2012-061B,"November 2, 2012",1436.1,177.1° W,TRACK IT,-177.1,YAMAL 300K,Russia,177.1° W,0.840,0.221,TRUE
TELECOM 1B,15678,1985-035B,"May 8, 1985",1436.4,177° W,TRACK IT,-177,TELECOM 1B,France,177° W,0.839,0.223,TRUE
NSS 9,33749,2009-008A,"February 12, 2009",1436.1,176.9° W,TRACK IT,-176.9,NSS 9,SES,176.9° W,0.838,0.225,TRUE
EUTELSAT W3B,37206,2010-056A,"October 28, 2010",579.8,176.5° W,TRACK IT,-176.5,EUTELSAT W3B,Europe,176.5° W,0.834,0.227,TRUE
INSAT 2A,22027,1992-041A,"July 9, 1992",1436.9,176° W,TRACK IT,-176,INSAT 2A,India,176° W,0.829,0.233,TRUE
SIRIUS 2 (GE-1E),25049,1997-071A,"November 11, 1997",1448.6,175.1° W,TRACK IT,-175.1,SIRIUS 2 (GE-1E),Sweden,175.1° W,0.820,0.234,TRUE
TDRS 11,39070,2013-004A,"January 31, 2013",1436.2,174.5° W,TRACK IT,-174.5,TDRS 11,United States,174.5° W,0.814,0.235,TRUE
EKRAN 14,15626,1985-024A,"March 22, 1985",1519,174.1° W,TRACK IT,-174.1,EKRAN 14,Russia,174.1° W,0.810,0.238,TRUE
