id,year,status,LEO,MEO,GEO,other,missing,total
AFWTR,1957,Inactive,0,0,0,0,0,0
AFWTR,1958,Inactive,0,0,0,0,0,0
AFWTR,1959,Active,6,0,0,0,0,6
AFWTR,1960,Active,6,0,0,0,0,6
AFWTR,1961,Active,13,2,0,0,0,15
AFWTR,1962,Active,29,1,0,0,1,31
AFWTR,1963,Active,23,2,0,0,0,25
AFWTR,1964,Active,34,0,0,0,0,34
AFWTR,1965,Active,33,2,0,0,0,35
AFWTR,1966,Active,38,5,0,0,0,43
AFWTR,1967,Active,33,1,0,1,0,35
AFWTR,1968,Active,28,2,0,0,0,30
AFWTR,1969,Active,20,1,0,1,0,22
AFWTR,1970,Active,17,0,0,0,0,17
AFWTR,1971,Active,15,0,0,0,2,17
AFWTR,1972,Active,18,0,0,1,0,19
AFWTR,1973,Active,9,0,0,0,1,10
AFWTR,1974,Active,11,1,0,1,0,13
AFWTR,1975,Active,9,0,0,1,2,12
AFWTR,1976,Active,8,1,0,0,4,13
AFWTR,1977,Active,4,1,0,0,2,7
AFWTR,1978,Active,8,4,0,0,2,14
AFWTR,1979,Active,5,0,0,0,1,6
AFWTR,1980,Active,3,2,0,0,2,7
AFWTR,1981,Active,4,1,0,0,2,7
AFWTR,1982,Active,4,0,0,0,1,5
AFWTR,1983,Active,5,1,0,1,4,11
AFWTR,1984,Active,3,2,0,0,5,10
AFWTR,1985,Active,2,1,0,0,1,4
AFWTR,1986,Active,2,0,0,0,1,3
AFWTR,1987,Active,2,0,0,0,3,5
AFWTR,1988,Active,5,0,0,0,2,7
AFWTR,1989,Active,1,0,0,0,1,2
AFWTR,1990,Active,3,0,0,0,1,4
AFWTR,1991,Active,3,0,0,0,3,6
AFWTR,1992,Active,2,0,0,0,2,4
AFWTR,1993,Active,2,0,0,0,1,3
AFWTR,1994,Active,4,0,0,1,2,7
AFWTR,1995,Active,2,0,0,0,2,4
AFWTR,1996,Active,3,1,0,1,3,8
AFWTR,1997,Active,7,0,0,0,2,9
AFWTR,1998,Active,6,0,0,0,2,8
AFWTR,1999,Active,6,0,0,0,2,8
AFWTR,2000,Active,4,0,0,1,2,7
AFWTR,2001,Active,2,0,0,0,2,4
AFWTR,2002,Active,3,0,0,0,0,3
AFWTR,2003,Active,2,0,0,0,2,4
AFWTR,2004,Active,3,0,0,0,0,3
AFWTR,2005,Active,2,0,0,0,2,4
AFWTR,2006,Active,2,0,0,0,3,5
AFWTR,2007,Active,3,0,0,0,0,3
AFWTR,2008,Active,3,0,0,0,1,4
AFWTR,2009,Active,3,0,0,0,2,5
AFWTR,2010,Active,1,0,0,0,2,3
AFWTR,2011,Active,2,0,0,0,3,5
AFWTR,2012,Active,0,0,0,0,2,2
AFWTR,2013,Active,2,0,0,0,2,4
AFWTR,2014,Active,2,0,0,0,2,4
AFWTR,2015,Active,1,0,0,0,1,2
AFWTR,2016,Active,2,0,0,0,1,3
AFWTR,2017,Active,7,0,0,0,2,9
AFETR,1957,Inactive,0,0,0,0,0,0
AFETR,1958,Active,4,1,0,0,2,7
AFETR,1959,Active,1,2,0,2,0,5
AFETR,1960,Active,9,0,0,1,0,10
AFETR,1961,Active,10,0,0,2,0,12
AFETR,1962,Active,12,2,0,5,0,19
AFETR,1963,Active,3,1,2,2,0,8
AFETR,1964,Active,4,1,1,7,0,13
AFETR,1965,Active,11,2,1,6,0,20
AFETR,1966,Active,18,2,1,7,1,29
AFETR,1967,Active,5,2,4,11,0,22
AFETR,1968,Active,5,1,1,6,1,14
AFETR,1969,Active,6,0,3,8,1,18
AFETR,1970,Active,0,1,4,2,3,10
AFETR,1971,Active,1,0,4,4,1,10
AFETR,1972,Active,1,0,3,4,2,10
AFETR,1973,Active,4,0,3,4,2,13
AFETR,1974,Active,0,1,7,1,0,9
AFETR,1975,Active,4,0,7,2,2,15
AFETR,1976,Active,0,0,11,1,1,13
AFETR,1977,Active,1,0,9,4,3,17
AFETR,1978,Active,1,0,10,4,3,18
AFETR,1979,Active,1,1,3,1,2,8
AFETR,1980,Active,1,0,4,0,1,6
AFETR,1981,Active,2,0,7,0,2,11
AFETR,1982,Active,3,0,9,0,1,13
AFETR,1983,Active,4,0,7,0,0,11
AFETR,1984,Active,6,0,2,1,3,12
